cell_id,reduction,delta_close_deg,q_c_rel,n,n_failed,p_mean_of_pair,p_mean_of_pair_lo,p_mean_of_pair_hi,n_p_mean_of_pair,p_arrive_C,p_arrive_C_lo,p_arrive_C_hi,n_p_arrive_C,p_arrive_AB,p_arrive_AB_lo,p_arrive_AB_hi,n_p_arrive_AB,p_timeout,p_timeout_lo,p_timeout_hi,n_p_timeout,p_no_commit,p_no_commit_lo,p_no_commit_hi,n_p_no_commit,p_final_mean_of_pair,p_final_mean_of_pair_lo,p_final_mean_of_pair_hi,n_p_final_mean_of_pair,p_bimodal_t2,p_bimodal_t2_lo,p_bimodal_t2_hi,n_p_bimodal_t2,p_merged_t2,p_merged_t2_lo,p_merged_t2_hi,n_p_merged_t2,p_commit_A,p_arrive_A,p_commit_B,p_arrive_B,p_commit_C,median_t_commit,median_t_arrival,mean_t_arrival,p_detector_fired,median_t_bif
0,sum,12.0,1.0,200,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.34,0.2779143922159556,0.40811632967790723,68,0.015,0.005114145184492387,0.043166480556278884,3,0.985,0.9568335194437211,0.9948858548155076,197,0.0,0.825,0.0,0.175,0.0,1.0,10.015717095447684,9.952710874851443,1.0,1.0
1,sum,12.0,1.01,200,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.34,0.2779143922159556,0.40811632967790723,68,0.015,0.005114145184492387,0.043166480556278884,3,0.985,0.9568335194437211,0.9948858548155076,197,0.0,0.825,0.0,0.175,0.0,1.0,10.01511387349569,9.951473718732174,1.0,1.0
2,sum,12.0,1.02,200,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.345,0.2825968690139029,0.41324539282077655,69,0.015,0.005114145184492387,0.043166480556278884,3,0.985,0.9568335194437211,0.9948858548155076,197,0.0,0.83,0.0,0.17,0.0,1.0,10.014500054666673,9.950037833156896,1.0,1.0
3,sum,15.0,1.0,200,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.005,0.0008831459893662054,0.02777439986977148,1,0.03,0.013820125830748327,0.06389511973247333,6,0.97,0.9361048802675267,0.9861798741692518,194,0.0,0.54,0.0,0.46,0.0,1.0,9.601920808673992,9.607605367836983,1.0,1.0
4,sum,15.0,1.01,200,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.005,0.0008831459893662054,0.02777439986977148,1,0.025,0.010724561470787711,0.05717914415161715,5,0.975,0.9428208558483829,0.9892754385292123,195,0.0,0.545,0.0,0.455,0.0,1.0,9.602210246060245,9.607940240223401,1.0,1.0
5,sum,15.0,1.02,200,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.005,0.0008831459893662054,0.02777439986977148,1,0.02,0.007804300176394188,0.050287865505193874,4,0.98,0.9497121344948062,0.9921956998236058,196,0.0,0.545,0.0,0.455,0.0,1.0,9.602118811275293,9.609157164275707,1.0,1.0
6,sum,20.0,1.0,200,0,0.99,0.9642775148038205,0.9972533993962251,198,0.595,0.5257958199999483,0.6606234388755706,119,0.405,0.3393765611244294,0.4742041800000517,81,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.06,0.0346518499012715,0.10193263530685089,12,0.94,0.8980673646931491,0.9653481500987285,188,0.0,0.0,0.0,0.405,0.01,1.0,25.525225951236518,19.224889552804346,1.0,1.0
7,sum,20.0,1.01,200,0,0.99,0.9642775148038205,0.9972533993962251,198,0.595,0.5257958199999483,0.6606234388755706,119,0.405,0.3393765611244294,0.4742041800000517,81,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.06,0.0346518499012715,0.10193263530685089,12,0.94,0.8980673646931491,0.9653481500987285,188,0.0,0.0,0.0,0.405,0.01,1.0,25.518248980069067,19.21991984341749,1.0,1.0
8,sum,20.0,1.02,200,0,0.99,0.9642775148038205,0.9972533993962251,198,0.595,0.5257958199999483,0.6606234388755706,119,0.405,0.3393765611244294,0.4742041800000517,81,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.06,0.0346518499012715,0.10193263530685089,12,0.94,0.8980673646931491,0.9653481500987285,188,0.0,0.0,0.0,0.405,0.01,1.0,25.512142833041782,19.215511598571368,1.0,1.0
9,sum,25.0,1.0,200,0,0.82,0.7608840628376157,0.8670544933746589,164,0.57,0.500703604055383,0.636657955116052,114,0.43,0.36334204488394795,0.49929639594461706,86,0.0,0.0,0.018846005918320894,0,0.03,0.013820125830748327,0.06389511973247333,6,0.01,0.0027466006037749346,0.03572248519617954,2,0.175,0.12860441174608936,0.23364549210081922,35,0.825,0.7663545078991807,0.8713955882539106,165,0.0,0.055,0.025,0.375,0.125,1.0,25.46457544032316,19.250356326958286,1.0,1.0
