delta_close_deg,q_c_rel,n_pairs,d_mean_of_pair,se_mean_of_pair,d_arrive_C,se_arrive_C,d_timeout,se_timeout
12.0,1.0,200,-0.015,0.008616625276509296,0.0,0.0,0.0,0.0
12.0,1.01,200,-0.015,0.008616625276509296,0.0,0.0,0.0,0.0
12.0,1.02,200,-0.015,0.008616625276509296,0.0,0.0,0.0,0.0
15.0,1.0,200,-0.25,0.030695456590127176,0.0,0.0,0.0,0.0
15.0,1.01,200,-0.24,0.030275120389073013,0.0,0.0,0.0,0.0
15.0,1.02,200,-0.235,0.03005647949775547,0.0,0.0,0.0,0.0
20.0,1.0,200,-0.925,0.018671317319682114,0.0,0.0,0.0,0.0
20.0,1.01,200,-0.925,0.018671317319682114,0.0,0.0,0.0,0.0
20.0,1.02,200,-0.925,0.018671317319682114,0.0,0.0,0.0,0.0
25.0,1.0,200,-0.82,0.02723432655149688,0.0,0.0,0.0,0.0
25.0,1.01,200,-0.82,0.02723432655149688,0.0,0.0,0.0,0.0
25.0,1.02,200,-0.82,0.02723432655149688,0.0,0.0,0.0,0.0
30.0,1.0,200,-0.38,0.03440813273035824,0.0,0.0,0.0,0.0
30.0,1.01,200,-0.38,0.03440813273035824,0.0,0.0,0.0,0.0
30.0,1.02,200,-0.38,0.03440813273035824,-0.005,0.005000000000000001,0.0,0.0
40.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0
40.0,1.01,200,0.0,0.0,0.0,0.0,-0.005,0.005000000000000001
40.0,1.02,200,-0.005,0.005000000000000001,0.0,0.0,0.0,0.0
60.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0
60.0,1.01,200,0.0,0.0,0.0,0.0,0.0,0.0
60.0,1.02,200,0.0,0.0,0.0,0.0,0.0,0.0
